PlayerName,Date,MatchType(OneDay-T20-Test),Opposition Team,Toss Win,Bowling First,Batting First,home team,Last Matches Performance,Last 3Matches Performance,Last 6Matches Performance,weather,pitch,Form (InOrOut),Order(BattingBowlingOrder),Performance(IT is label. For Batsman:Runs.,,,,,,
KANE WILLIAMSON,"01 Nov, 2017",T20I,India,Win,Yes,No,India,BAD,GOOD,AVERAGE,Rainy,Green,In,3,28,,,,,,
KANE WILLIAMSON,"04  Nov, 2017",T20I,India,Win,No,Yes,India,BAD,BAD,AVERAGE,Foggy,Normal,Out,3,12,,,,,,
KANE WILLIAMSON,"07 Nov, 2017",T20I,India,Win,Yes,No,India,BAD,BAD,AVERAGE,Rainy,Green,Out,3,8,,,,,,
KANE WILLIAMSON,"01 Jan, 2018",T20I,West Indies,Loss,No,Yes,New Zealand,BAD,BAD,BAD,Foggy,Normal,Out,3,17,,,,,,
KANE WILLIAMSON,"03 Jan, 2018",T20I,West Indies,Win,No,Yes,New Zealand,BAD,BAD,BAD,Rainy,Green,Out,5,19,,,,,,
KANE WILLIAMSON,"25 Jan, 2018",T20I,Pakistan,Loss,Yes,No,New Zealand,BAD,BAD,BAD,Clear,Normal,Out,5,0,,,,,,
KANE WILLIAMSON,"28 Jan, 2018",T20I,Pakistan,Loss,Yes,No,New Zealand,BAD,BAD,BAD,Foggy,Hard,Out,2,9,,,,,,
KANE WILLIAMSON,"03 Feb, 2018",T20I,Australia,Loss,No,Yes,n/a,AVERAGE,BAD,BAD,Clear,Hard,Out,3,8,,,,,,
KANE WILLIAMSON,"13 Feb, 2018",T20I,England,Loss,No,Yes,New Zealand,AVERAGE,BAD,BAD,Rainy,Normal,In,3,72,,,,,,
KANE WILLIAMSON,"16 Feb, 2018",T20I,Australia,Win,No,Yes,New Zealand,BAD,BAD,BAD,Clear,Dry,Out,7,1,,,,,,
KANE WILLIAMSON,"18 Feb, 2018",T20I,England,Loss,No,Yes,New Zealand,BAD,BAD,BAD,Foggy,Dry,In,3,8,,,,,,
KANE WILLIAMSON,"21 Feb, 2018",T20I,Australia,Win,No,Yes,New Zealand,BAD,BAD,BAD,Clear,Normal,Out,7,9,,,,,,
KANE WILLIAMSON,"31 Oct, 2018",T20I,Pakistan,Loss,Yes,No,n/a,AVERAGE,BAD,BAD,Sunny,Hard,Out,3,11,,,,,,
KANE WILLIAMSON,"02 Nov, 2018",T20I,Pakistan,Loss,Yes,No,n/a,AVERAGE,BAD,BAD,Clear,Normal,In,4,37,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
